# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
mo shi 	模式	c=59 d=0.0538133 t=96130
mo shi 	漠視	c=1 d=1 t=75260
mo shi hua 	模式化	c=1 d=1 t=41670
mo wei 	末尾	c=3 d=4.88521e-14 t=96130
mo xie 	默寫	c=5 d=2.06323e-05 t=96130
mo xing 	模型	c=422 d=2.40711 t=96130
mo xing xun lian 	模型訓練	c=1 d=9.89007e-18 t=96130
mou 	某	c=1 d=1 t=58475
mou 	眸	c=1 d=1 t=32091
mou xie 	某些	c=1 d=1.97522e-08 t=96130
mou yi ge 	某一個	c=1 d=1 t=58463
mu 	木	c=3 d=1 t=43947
mu 	母	c=5 d=0.1 t=69169
mu bao 	目胞	c=1 d=3.46633e-07 t=96130
mu bian 	木匾	c=2 d=1.99501 t=95322
mu biao 	目標	c=32 d=1.75202 t=96130
mu biao shi 	目標是	c=1 d=1 t=42967
mu biao zhi 	目標值	c=7 d=4.14766e-15 t=96130
mu biao zhi he 	目標值和	c=1 d=1 t=31324
mu di 	目的	c=17 d=2.47147e-09 t=96130
mu du 	目睹	c=1 d=7.09306e-19 t=96130
mu lu 	目錄	c=55 d=0.00209834 t=96130
mu lu xia 	目錄下	c=1 d=1 t=66693
mu qian 	目前	c=24 d=0.589582 t=96130
mu qin jie 	母親節	c=2 d=1 t=63322
mu tou 	木頭	c=3 d=1.00011 t=55054
mu wu 	木屋	c=1 d=1 t=74722
mu xie 	木屑	c=1 d=1 t=20561
mu yang 	母羊	c=1 d=1.15761e-16 t=96130
mu you 	木有	c=0 d=0.1 t=70711
mu yu 	母語	c=1 d=1 t=78729
na 	哪	c=59 d=0.0248167 t=96130
na 	拿	c=14 d=1.3408e-09 t=96130
na 	那	c=78 d=0.526121 t=96130
na bian 	那邊	c=10 d=2.23828 t=59519
na ci 	那次	c=4 d=4.30963e-10 t=96130
na cui 	納粹	c=1 d=1 t=31933
na dang ran 	那當然	c=1 d=6.91793e-19 t=96130
na dao 	拿到	c=7 d=4.00664e-05 t=96130
na fa 	拿法	c=0 d=0.1 t=84936
na ge 	哪個	c=48 d=0.956468 t=96130
na ge 	那個	c=6 d=1 t=89992
na ge bao 	哪個包	c=1 d=1 t=49370
na ge ci 	那个词	c=1 d=1 t=52711
na guo 	哪國	c=1 d=1.09501 t=24393
na guo rang ni 	哪國讓你	c=1 d=1 t=24394
na ji 	那幾	c=0 d=0.1 t=92204
na ji bu fen 	哪几部分	c=2 d=1 t=53717
na ji zhong 	哪幾種	c=3 d=3.51991e-11 t=96130
na jia 	哪家	c=2 d=1.01426 t=61826
na jin 	拿进	c=0 d=1.15722e-13 t=96130
na jin lai 	拿进來	c=1 d=1.16302e-12 t=96130
na jiu 	那就	c=4 d=1 t=76721
na jiu hao 	那就好	c=2 d=0.367879 t=96130
na ju 	那句	c=2 d=1.97045 t=31130
na kuai di 	拿快遞	c=1 d=1.52455e-20 t=96130
na lai 	哪來	c=3 d=1.04205e-14 t=96130
na lai 	拿來	c=1 d=1.03685e-14 t=96130
na li 	哪裏	c=22 d=0.951229 t=96130
na lia 	拿俩	c=1 d=1 t=51452
na liang ge 	哪两个	c=4 d=5.54074e-18 t=96130
na liang ge 	那兩個	c=1 d=2.56391e-18 t=96130
na liang lei 	那兩類	c=2 d=1 t=92589
na liang zhong 	那兩種	c=6 d=0.65377 t=96130
na me 	那麼	c=30 d=0.000706632 t=96130
na me da 	那麼大	c=1 d=1 t=45110
na me kun 	那麼困	c=1 d=1.04422e-09 t=96130
na pa 	哪怕	c=1 d=1 t=41129
na qi 	那契	c=0 d=1.24219e-23 t=96130
na san ge 	那三個	c=1 d=1 t=27100
na sha 	那啥	c=8 d=1 t=29289
na shi 	那是	c=2 d=1 t=85629
na shi 	那時	c=2 d=1.00018 t=38921
na shou 	拿手	c=0 d=0.056836 t=96130
na shui 	納稅	c=1 d=1 t=69293
na suo 	哪所	c=1 d=1 t=80908
na ti 	那题	c=1 d=1.39357e-22 t=96130
na tian 	哪天	c=2 d=1 t=36378
na tian 	那天	c=2 d=1 t=44997
na tiao 	那條	c=1 d=0.1 t=87316
na tiao bian 	那條邊	c=1 d=1 t=87317
na xie 	哪些	c=183 d=0.657553 t=96130
na xie 	那些	c=1 d=1 t=38229
na xie lei 	哪些類	c=1 d=1.54975e-07 t=96130
na yan 	納言	c=1 d=1 t=66367
na yang 	那樣	c=5 d=0.00299752 t=96130
na yi 	哪一	c=0 d=0.1 t=31576
na yi bu 	哪一步	c=2 d=0.532978 t=96130
na yi bu fen 	哪一部分	c=2 d=1 t=63925
na yi ceng 	哪一层	c=1 d=1 t=55631
na yi duan 	哪一端	c=1 d=0.000149233 t=96130
na yi duan 	那一段	c=1 d=0.000148489 t=96130
na yi ge 	哪一個	c=1 d=1 t=29343
na yi hang 	那一行	c=2 d=1.00097 t=51177
na yi ke 	那一課	c=1 d=1 t=89364
na yi lei 	那一類	c=1 d=1 t=92592
na yi men 	哪一門	c=1 d=1 t=31577
na yi nian 	那一年	c=2 d=1 t=60990
na yi xia 	拿一下	c=1 d=5.98416e-19 t=96130
na yi zhong 	哪一種	c=2 d=4.79669e-05 t=96130
na yi zhong 	那一種	c=1 d=4.77683e-15 t=96130
na you 	哪有	c=1 d=1 t=75134
na zhang 	那張	c=1 d=1 t=24175
na zhe 	拿着	c=1 d=1 t=69753
na zhong 	哪種	c=5 d=0.0328764 t=96130
na zhong 	那種	c=9 d=0.318224 t=96130
na zou 	拿走	c=1 d=1 t=24322
nai xin 	耐心	c=4 d=1.04677 t=56700
nai xin er 	耐心而	c=1 d=1 t=56549
nan 	南	c=11 d=1.96561 t=91156
nan 	男	c=15 d=0.62414 t=96130
nan 	難	c=3 d=1 t=78216
nan dao 	難道	c=2 d=3.73046e-18 t=96130
nan dian 	南點	c=2 d=1.99501 t=74521
nan du 	難度	c=3 d=2.6546e-07 t=96130
nan gong 	南工	c=8 d=1.94176 t=84574
nan gong yuan 	南工院	c=9 d=1.0041 t=85863
nan huan 	难还	c=1 d=2.19427e-10 t=96130
nan jing 	南京	c=63 d=0.00141017 t=96130
nan jing gong ye 	南京工業	c=6 d=3.52842e-10 t=96130
nan jing gong ye zhi ye ji shu da xue 	南京工業职业技术大學	c=1 d=1 t=81238
nan jing nan 	南京南	c=1 d=1 t=43141
nan jing shi 	南京市	c=2 d=1 t=78003
nan mian 	難免	c=2 d=1.01843e-09 t=96130
nan min 	難民	c=1 d=1 t=75012
nan na 	南那	c=0 d=0.1 t=73461
nan na jiu 	南那就	c=1 d=1 t=73462
nan nv 	男女	c=3 d=1.04036 t=44976
nan peng you 	男朋友	c=1 d=1 t=26329
nan sheng 	男生	c=2 d=0.271173 t=96130
nan shou 	難受	c=34 d=3.86214e-09 t=96130
nan ti 	難題	c=1 d=2.8754e-15 t=96130
nan tian men 	南天門	c=2 d=1 t=43341
nan wei 	難爲	c=1 d=4.59906e-10 t=96130
nan xing 	男性	c=2 d=1 t=43889
nan yi 	難以	c=3 d=3.93937e-12 t=96130
nan yong 	男用	c=1 d=1 t=75237
nan yong 	難用	c=1 d=1 t=75239
nan you 	南邮	c=6 d=1.00789 t=73428
nan zhu jue 	男主角	c=1 d=3.06903e-16 t=96130
nang 	囊	c=1 d=1 t=24915
nang xi 	曩昔	c=0 d=0.1 t=78171
nao 	撓	c=1 d=0.0237541 t=96130
nao 	腦	c=8 d=7.15212e-06 t=96130
nao dai 	腦袋	c=1 d=1 t=53232
nao hai 	腦海	c=1 d=1 t=74095
nao ke xue 	腦科學	c=6 d=2.18296e-08 t=96130
nao li 	腦力	c=4 d=2.6508e-19 t=96130
nao nao 	挠挠	c=0 d=0.1 t=89996
nao nao tou 	挠挠頭	c=1 d=1 t=89997
nao nei 	脑内	c=1 d=1 t=80197
nao xin 	鬧心	c=2 d=0.00194013 t=96130
nao zhong 	腦中	c=3 d=1.97758e-22 t=96130
nao zhong 	鬧鐘	c=4 d=8.13236e-10 t=96130
nao zi 	腦子	c=2 d=1.46533 t=89312
ne 	呢	c=63 d=0.481215 t=96130
ne ge 	呢個	c=0 d=2.42002e-16 t=96130
nei 	內	c=25 d=3.65596e-05 t=96130
nei bu 	內部	c=6 d=1.00011 t=63293
nei cun 	內存	c=12 d=6.19099e-07 t=96130
nei hao 	內耗	c=3 d=3.32181e-06 t=96130
nei he 	內核	c=17 d=1.00601 t=81477
nei ji 	內積	c=2 d=1 t=61485
nei ku 	內褲	c=1 d=1 t=28595
nei meng gu 	內蒙古	c=1 d=1 t=38432
nei mo shi 	內模式	c=1 d=1 t=91580
nei qian 	內嵌	c=5 d=6.77403e-07 t=96130
nei qian shi 	内嵌式	c=1 d=2.16087e-06 t=96130
nei rong 	內容	c=229 d=0.39901 t=96130
nei shi 	內實	c=0 d=2.16087e-07 t=96130
nei wang 	內網	c=1 d=0.00108628 t=96130
nei wo 	内我	c=1 d=0.00108086 t=96130
nei xin 	內心	c=2 d=2.0378e-22 t=96130
nei xu 	內需	c=3 d=2.4308 t=46188
nei yin 	內因	c=2 d=1.96561 t=29330
nei zai 	內在	c=3 d=1 t=61575
nei zang 	內臟	c=1 d=1 t=43956
nei zhi 	內置	c=1 d=1 t=26479
neng 	能	c=162 d=0.759572 t=96130
neng bu neng 	能不能	c=19 d=0.0285121 t=96130
neng fou 	能否	c=7 d=1.67449e-06 t=96130
neng gou 	能夠	c=8 d=1.50311 t=95865
neng li 	能力	c=28 d=0.00159658 t=96130
neng li jie 	能理解	c=1 d=0.0148464 t=96130
neng liang 	能量	c=2 d=1.79057 t=39934
neng rang 	能讓	c=0 d=0.1 t=50048
neng rang wo 	能讓我	c=1 d=1 t=50049
neng yong 	能用	c=3 d=4.93336e-12 t=96130
neng yuan 	能源	c=4 d=1 t=63316
neng yuan da guo 	能源大國	c=1 d=1 t=46076
ni 	你	c=568 d=2.80698 t=96130
ni 	妳	c=1 d=1 t=31573
ni 	擬	c=2 d=1.93239 t=69447
ni bi 	你比	c=1 d=0.00141589 t=96130
ni de 	你的	c=2 d=1.74402e-14 t=96130
ni dei 	你得	c=6 d=4.08038e-14 t=96130
ni gao su 	你告訴	c=1 d=1 t=87749
ni ge 	你個	c=1 d=1 t=40568
ni gei 	你給	c=1 d=1 t=33155
ni ha 	你哈	c=2 d=8.03612e-17 t=96130
ni hao 	你好	c=61 d=0.282195 t=96130
ni hao hao 	你好好	c=1 d=2.89778e-17 t=96130
ni hao ya 	你好呀	c=1 d=1 t=81421
ni he 	擬合	c=18 d=0.878368 t=96130
ni hui 	你會	c=2 d=2.28305e-06 t=96130
ni huo 	逆火	c=1 d=0.00283702 t=96130
ni jiao 	暱交	c=1 d=1 t=53351
ni jing 	逆境	c=2 d=1 t=75330
ni jiu 	你就	c=0 d=3.43955e-05 t=96130
ni jiu bu hui 	你就不會	c=1 d=0.000345679 t=96130
ni jue de 	你覺得	c=2 d=3.33041e-07 t=96130
ni kan kan 	你看看	c=3 d=3.58297e-14 t=96130
ni kan kan na 	你看看哪	c=1 d=1 t=28299
ni lei bie 	你類別	c=3 d=1 t=95789
ni ma 	尼瑪	c=1 d=8.24096e-19 t=96130
ni men 	你們	c=44 d=0.00737249 t=96130
ni na shou 	你拿手	c=1 d=0.571209 t=96130
ni ne 	你呢	c=1 d=1 t=81443
ni ne ge 	你呢個	c=15 d=0.193013 t=96130
ni neng 	你能	c=3 d=1 t=91353
ni nian 	你念	c=1 d=1 t=55745
ni ning 	泥濘	c=1 d=1 t=73717
ni ru 	你如	c=1 d=1 t=58437
ni shi 	你是	c=13 d=8.83549e-15 t=96130
ni shuo 	你說	c=3 d=0.0300468 t=96130
ni tui jian 	你推薦	c=1 d=1 t=31574
ni xian 	你先	c=1 d=1 t=76519
ni xian zai 	你現在	c=2 d=0.637628 t=96130
ni xiang 	你想	c=2 d=1.33622 t=21827
ni xiang 	逆向	c=4 d=1.04448e-12 t=96130
ni xiang gai lv 	逆向概率	c=1 d=1.04963e-11 t=96130
ni xu 	擬序	c=1 d=1 t=22628
ni xu 	逆序	c=2 d=1 t=25392
ni xu yao 	你需要	c=1 d=1 t=71013
ni xuan 	你选	c=1 d=1 t=89176
ni yao 	你要	c=4 d=5.47674e-06 t=96130
ni ye 	你也	c=1 d=1 t=34602
ni yi wei 	你以爲	c=1 d=1 t=75525
ni ying gai 	你應該	c=1 d=1 t=26287
ni yong 	你用	c=1 d=1 t=35635
ni you 	你有	c=4 d=3.81437e-15 t=96130
ni zai 	你再	c=2 d=1.90696e-06 t=96130
ni zai ma 	你在嗎	c=1 d=5.73273e-14 t=96130
ni zai na 	你在哪	c=1 d=0.138761 t=96130
ni zhe 	你這	c=1 d=1 t=35262
ni zhe ge 	你這個	c=1 d=1 t=85529
ni zhi 	逆置	c=6 d=1.44498e-07 t=96130
ni zhi dao 	你知道	c=3 d=3.13646e-07 t=96130
nia hou 	孃後	c=4 d=1 t=81420
nian 	唸	c=1 d=1 t=90974
nian 	年	c=64 d=0.429768 t=96130
nian dai 	年代	c=6 d=5.29359 t=92552
nian di 	年底	c=1 d=1 t=59313
nian ji 	年級	c=1 d=1 t=23104
nian nian 	年年	c=1 d=8.11689e-17 t=96130
nian ya 	碾壓	c=1 d=1 t=59384
nian yue 	年月	c=1 d=1 t=94957
niao 	尿	c=3 d=6.55908e-10 t=96130
niao ji 	尿急	c=2 d=1.96771e-22 t=96130
niao pin 	尿頻	c=1 d=1 t=45117
nie tou 	捏頭	c=1 d=1 t=85693
nin 	您	c=28 d=1 t=96039
nin you 	您有	c=1 d=1 t=39465
ning 	寧	c=2 d=1 t=94404
ning jing 	寧靜	c=1 d=1 t=38082
ning xia 	寧夏	c=1 d=1 t=38605
niu 	牛	c=2 d=1.93239 t=22661
niu qu 	扭曲	c=2 d=1.00033 t=75794
niu rou 	牛肉	c=2 d=1 t=85888
niu tou 	牛頭	c=1 d=1 t=52593
niu tou ren 	牛頭人	c=1 d=1.86501e-09 t=96130
niu you guo 	牛油果	c=1 d=1 t=47482
nong 	弄	c=3 d=1.34404e-08 t=96130
nong cuo 	弄錯	c=1 d=1 t=23198
nong hao 	弄好	c=1 d=1 t=23363
nong li 	農歷	c=1 d=1 t=22456
nong qi lai 	弄起來	c=0 d=0.1 t=42250
nong qi lai lai 	弄起來來	c=1 d=1 t=42251
nong suo 	濃縮	c=1 d=1 t=61456
nu 	怒	c=0 d=0.1 t=55812
nu huo 	怒火	c=1 d=1 t=41495
nu li 	努力	c=11 d=5.13382e-10 t=96130
nu ma 	怒罵	c=1 d=2.84137e-21 t=96130
nuo 	挪	c=1 d=1 t=30916
nuo 	諾	c=1 d=1 t=79265
nuo gan 	諾幹	c=1 d=1 t=22526
nuo lan 	诺兰	c=1 d=1 t=22718
nuo ruo 	懦弱	c=1 d=1 t=75862
nv 	女	c=3 d=1 t=90799
nv hai 	女孩	c=1 d=1 t=29314
nv hai zi 	女孩子	c=1 d=1 t=26308
nv peng you 	女朋友	c=14 d=3.54852e-18 t=96130
nv ren 	女人	c=1 d=1 t=34284
nv sheng 	女生	c=7 d=0.279431 t=96130
nv shi 	女士	c=1 d=1 t=24505
nv you 	女友	c=2 d=1 t=75048
o 	哦	c=2 d=5.85869e-06 t=96130
o 	噢	c=9 d=0.111917 t=96130
o o 	哦哦	c=2 d=1.99501 t=70744
o o 	噢噢	c=1 d=1 t=70760
ou 	歐	c=1 d=1 t=91382
ou bi si di 	歐比斯迪	c=0 d=0.1 t=77764
ou bi si di na 	歐比斯迪那	c=1 d=1 t=77765
ou dui 	偶对	c=1 d=0.1 t=92793
ou ji 	偶極	c=1 d=1 t=61428
ou ji li de 	歐幾里德	c=2 d=1.50662 t=61566
ou shi 	歐式	c=3 d=2.70768e-10 t=96130
ou shi ju li 	歐氏距離	c=1 d=2.69353e-10 t=96130
ou shu 	偶數	c=1 d=1 t=86682
ou wen 	欧文	c=1 d=2.30874e-20 t=96130
ou wen 	歐穩	c=4 d=1.21007e-08 t=96130
ou xiang 	偶像	c=0 d=0.1 t=94037
ou yang 	歐陽	c=1 d=1 t=82925
ou yu 	偶遇	c=1 d=1 t=92663
ou zhou 	歐洲	c=2 d=1.99501 t=90662
pa 	怕	c=8 d=0.202909 t=96130
pa 	爬	c=9 d=1.96079 t=78118
pa chong 	爬蟲	c=3 d=2.49728 t=33417
pa dao 	爬到	c=1 d=1 t=36728
pa lou ti 	爬樓梯	c=4 d=0.936847 t=96130
pa tai shan 	爬泰山	c=1 d=1 t=39507
pa xing 	爬行	c=2 d=3.53491e-06 t=96130
pa xing nao 	爬行腦	c=5 d=0.00478701 t=96130
pa zhang qian 	怕张潜	c=1 d=4.04955e-13 t=96130
pai 	拍	c=2 d=1.09802 t=57222
pai 	排	c=3 d=1 t=91031
pai 	派	c=1 d=1 t=33741
pai ban 	排版	c=1 d=1 t=75776
pai cha 	排查	c=2 d=3.08977e-07 t=96130
pai chu 	排出	c=1 d=7.28524e-10 t=96130
pai chu 	排除	c=1 d=1.92181e-09 t=96130
pai dian 	拍點	c=1 d=1 t=26563
pai fang 	排放	c=2 d=1 t=91393
pai hang bang 	排行榜	c=3 d=1.9802 t=91976
pai huai 	徘徊	c=1 d=1 t=71096
pai jie 	排解	c=1 d=1 t=29306
pai ke 	拍客	c=1 d=1 t=80593
pai ke 	派克	c=1 d=1 t=80594
pai li 	排里	c=1 d=3.76539e-10 t=96130
pai lie 	排列	c=2 d=0.843665 t=96130
pai ming 	排名	c=3 d=1 t=80913
pai she 	拍攝	c=2 d=0.000370062 t=96130
pai she le 	拍攝了	c=1 d=1.07675e-17 t=96130
pai shi pin 	拍視頻	c=1 d=1 t=57219
pai xu 	排序	c=71 d=1.64569 t=96130
pai xu hou 	排序后	c=2 d=1 t=91702
pai xu shu 	排序樹	c=1 d=1 t=87505
pai zhao 	拍照	c=4 d=1 t=53916
pai zi 	牌子	c=2 d=1.68729 t=41750
pan 	判	c=3 d=1.99005 t=55000
pan 	盤	c=2 d=1 t=46573
pan bie 	判別	c=1 d=8.51247e-18 t=96130
pan bie shi 	判別式	c=1 d=6.83141e-18 t=96130
pan da 	盼打	c=1 d=5.97075e-22 t=96130
pan duan 	判斷	c=124 d=0.0620459 t=96130
pan duan ti 	判斷題	c=7 d=1 t=88914
pan guo 	叛國	c=1 d=1 t=74548
pan kong 	判空	c=4 d=9.3169e-11 t=96130
pan pian 	盤片	c=2 d=1.97531 t=39121
pan xuan 	盤旋	c=1 d=1 t=76032
pang 	旁	c=4 d=2.73583 t=95319
pang bian 	旁邊	c=1 d=1 t=94031
pang bian ji 	旁編輯	c=26 d=1.28139 t=96017
pang bian ji qi 	旁編輯其	c=1 d=1 t=93631
pang ci 	胖次	c=1 d=1 t=20189
pang da 	龐大	c=1 d=1 t=23548
pao 	跑	c=13 d=0.0573386 t=96130
pao bu 	跑步	c=10 d=5.39612e-08 t=96130
pao bu liao 	跑不了	c=1 d=1 t=37409
pao bu pao bu 	跑步跑步	c=1 d=1 t=57234
pao chu 	拋出	c=2 d=1 t=67422
pao chu 	跑出	c=2 d=1.97045 t=67429
pao chu lai 	跑出來	c=4 d=2.95101 t=67447
pao guo lai 	跑過來	c=1 d=1 t=27796
pao pao 	泡泡	c=1 d=1 t=20769
pao pao 	跑跑	c=1 d=1 t=20770
pao qu 	跑去	c=0 d=1.69334e-21 t=96130
pao qu na 	跑去拿	c=1 d=1.70183e-20 t=96130
pao tong 	跑通	c=5 d=1 t=73672
pao wan 	跑完	c=3 d=1.43525 t=39379
pei 	培	c=2 d=1.16122 t=30499
pei 	配	c=1 d=0.0663615 t=96130
pei 	陪	c=5 d=0.0587185 t=96130
pei ban 	陪伴	c=1 d=0.00166989 t=96130
pei dui 	配對	c=4 d=1.45304e-09 t=96130
pei he 	配合	c=3 d=1.69161e-08 t=96130
pei pao 	陪跑	c=1 d=1 t=37993
pei pei 	陪陪	c=1 d=1 t=89143
pei se 	配色	c=8 d=1 t=75784
pei ta 	陪她	c=2 d=1 t=38267
pei tao 	配套	c=1 d=1 t=90017
pei xun 	培訓	c=12 d=4.59906e-10 t=96130
pei yang 	培養	c=11 d=0.00160441 t=96130
pei yin 	配音	c=1 d=0.000187825 t=96130
pei zhi 	配置	c=73 d=0.937105 t=96130
pei zhi lei 	配置類	c=1 d=1.53459e-09 t=96130
pen ti 	噴嚏	c=1 d=7.58256e-10 t=96130
peng 	彭	c=2 d=1 t=94652
peng 	碰	c=1 d=1 t=44021
peng 	篷	c=1 d=1 t=43343
peng xu 	彭旭	c=4 d=2.8496 t=70821
peng you 	朋友	c=12 d=1.07363e-05 t=96130
peng you quan 	朋友圈	c=3 d=1 t=53958
pi 	屁	c=1 d=1 t=37942
pi 	批	c=4 d=5.27741e-12 t=96130
pi bei 	疲憊	c=2 d=1 t=56647
pi ci 	批次	c=3 d=4.6573e-11 t=96130
pi dan shou rou zhou 	皮蛋瘦肉粥	c=1 d=3.22693e-18 t=96130
pi er sen 	皮爾森	c=7 d=1.00099 t=95090
pi er sen xi shu 	皮爾森系數	c=1 d=1 t=94168
pi er si 	皮爾斯	c=1 d=1 t=36312
pi fa shang 	批發商	c=1 d=1 t=69208
pi fu 	批復	c=1 d=0.0258615 t=96130
pi fu 	皮膚	c=2 d=0.0259911 t=96130
pi gai 	批改	c=1 d=1 t=45227
pi ge 	批个	c=0 d=0.1 t=52010
pi ge jia 	批个假	c=1 d=1 t=52011
pi gui yi hua 	批歸一化	c=1 d=5.30387e-11 t=96130
pi hao 	癖好	c=1 d=1 t=80232
pi jiu 	啤酒	c=1 d=1 t=62080
pi juan 	疲倦	c=1 d=1 t=56646
pi lao 	疲勞	c=1 d=0.000120363 t=96130
pi lao qi 	疲劳期	c=1 d=3.97829e-10 t=96130
pi liang 	批量	c=1 d=2.54453e-17 t=96130
pi pei 	匹配	c=67 d=7.67609e-09 t=96130
pi ping 	批評	c=5 d=0.615697 t=96130
pi ping jia 	批評家	c=1 d=1 t=76025
pi shi 	屁事	c=1 d=1 t=32214
pia 	啪	c=1 d=9.54503e-12 t=96130
pian 	偏	c=1 d=1 t=22674
pian 	片	c=6 d=0.606919 t=96130
pian 	篇	c=25 d=0.0366992 t=96130
pian cha 	偏差	c=1 d=1 t=94239
pian dao 	偏導	c=2 d=1.09027 t=53519
pian duan 	片斷	c=1 d=9.59288e-12 t=96130
pian duan 	片段	c=10 d=3.1577e-10 t=96130
pian fu 	篇幅	c=1 d=1 t=19516
pian jian 	偏見	c=3 d=1.89608 t=75903
pian leng 	偏冷	c=1 d=1 t=21449
pian li 	偏離	c=1 d=1 t=52917
pian tai fen bu 	偏態分布	c=1 d=1 t=83290
pian yi 	偏移	c=2 d=1.09831e-15 t=96130
pian yi liang 	偏移量	c=4 d=3.35417e-15 t=96130
pian yi ma 	偏移碼	c=1 d=1 t=27804
pian zheng 	偏正	c=1 d=1 t=21834
pian zhi 	偏置	c=4 d=1.18692e-16 t=96130
piao 	朴	c=1 d=1 t=52921
piao 	瓢	c=3 d=1 t=90631
piao 	票	c=3 d=1 t=36660
piao zhe 	飄着	c=2 d=1.00664 t=40934
pie 	撇	c=0 d=0.1 t=68405
pie kai 	撇開	c=0 d=0.1 t=83923
pie kai le 	撇開了	c=1 d=1 t=83924
pin fan 	頻繁	c=1 d=1 t=75185
pin ji 	貧瘠	c=1 d=1 t=75008
pin jian 	品鑑	c=1 d=1 t=73351
pin jie 	拼接	c=7 d=1 t=75853
pin jie cheng 	拼接成	c=1 d=1 t=55477
pin lv 	頻率	c=17 d=5.77244e-07 t=96130
pin ni gao 	品尼高	c=0 d=7.10416e-09 t=96130
pin pai 	品牌	c=1 d=1 t=55859
pin seng 	貧僧	c=2 d=3.88802e-16 t=96130
pin xie 	拼寫	c=5 d=2.4792 t=77907
pin xie 	貧血	c=1 d=1 t=87058
pin yin 	拼音	c=3 d=1.83249 t=96130
pin zhong 	品種	c=1 d=1 t=53137
ping 	平	c=1 d=1 t=24404
ping 	評	c=12 d=1 t=80830
ping ban 	平板	c=1 d=1 t=37692
ping bi 	屏蔽	c=26 d=1 t=91656
ping bi 	評比	c=6 d=1 t=52873
ping bu liao 	评不了	c=1 d=1 t=37930
ping bu shang 	評不赏	c=1 d=1 t=22077
ping duan 	平鍛	c=1 d=1 t=38157
ping fang 	平方	c=0 d=0.1 t=69169
ping fang mu 	平方母	c=1 d=1 t=69170
ping fen 	評分	c=7 d=0.0042963 t=96130
ping gu 	評估	c=30 d=0.757515 t=96130
ping guo 	蘋果	c=15 d=1.96561 t=89515
ping heng 	平衡	c=4 d=1.64026 t=83373
ping hua 	平滑	c=13 d=8.94866e-10 t=96130
ping hua lv bo qi 	平滑濾波器	c=1 d=2.65297e-08 t=96130
ping jia 	評價	c=10 d=1 t=85398
ping jiang 	評獎	c=2 d=1.0004 t=20850
ping jiao 	评教	c=7 d=5.44721 t=56259
ping jing 	平靜	c=1 d=2.05828e-22 t=96130
ping ju 	平局	c=1 d=1 t=94155
ping jun 	平均	c=19 d=0.867902 t=96130
ping jun fa 	平均法	c=2 d=1.15404e-09 t=96130
ping jun zhi 	平均值	c=4 d=3.16264e-08 t=96130
ping kong 	憑空	c=2 d=1.98511 t=39892
ping lun 	評論	c=1 d=1 t=55717
ping mian 	平面	c=1 d=1 t=61392
ping mian yu 	平面域	c=1 d=1 t=79341
ping mu 	屏幕	c=18 d=0.00749539 t=96130
ping shang 	坪上	c=3 d=1.95649 t=42664
ping shen 	評審	c=6 d=1.69768 t=39398
ping shi 	平時	c=3 d=5.20964e-06 t=96130
ping tai 	平台	c=1 d=1 t=49394
ping wei 	評委	c=8 d=1.96604e-14 t=96130
ping wei zu 	評委組	c=1 d=6.84793e-17 t=96130
ping xuan 	評選	c=11 d=2.05793e-14 t=96130
ping yi 	平移	c=2 d=3.9133e-15 t=96130
ping yi 	評議	c=1 d=1 t=27821
ping you 	評優	c=17 d=1 t=96091
ping you biao 	評優表	c=1 d=1 t=26842
ping zheng 	憑證	c=1 d=1 t=90401
po bing 	破冰	c=1 d=1 t=57876
po jie 	破戒	c=1 d=1 t=76303
po jie 	破解	c=1 d=1 t=77133
po jie ban 	破解版	c=5 d=1.96561 t=82544
po ke 	破壳	c=1 d=1 t=22461
pu 	撲	c=1 d=1 t=74249
pu 	普	c=1 d=2.81942e-18 t=96130
pu bian 	普遍	c=2 d=1 t=40993
pu ji 	普及	c=1 d=1 t=29528
pu tong 	普通	c=7 d=1.12902e-05 t=96130
pu tong ren 	普通人	c=1 d=1 t=38284
pu tu 	普禿	c=0 d=0.1 t=70162
qi 	七	c=7 d=1 t=84446
qi 	其	c=46 d=0.253314 t=96130
qi 	器	c=6 d=2.74536e-05 t=96130
qi 	起	c=17 d=4.20465e-14 t=96130
qi 	齊	c=1 d=1 t=43480
qi bu 	起步	c=2 d=1.30228e-19 t=96130
qi bu dao 	起不到	c=1 d=1 t=36394
qi bu liao 	起不了	c=1 d=1 t=39078
qi che 	汽車	c=2 d=1 t=46201
qi chuang 	起牀	c=8 d=3.85113e-05 t=96130
qi ci 	七次	c=1 d=1 t=39863
qi dai 	期待	c=2 d=2.0315e-15 t=96130
qi dong 	啓動	c=26 d=0.00152618 t=96130
qi fa 	啓發	c=4 d=1 t=92084
qi fu 	欺負	c=2 d=2.33194e-20 t=96130
qi gai 	乞丐	c=1 d=1.02908 t=49761
qi gai ban 	乞丐班	c=1 d=1 t=49515
qi ge 	七個	c=0 d=0.1 t=63519
qi ge zi 	七個字	c=1 d=1 t=63520
qi guai 	奇怪	c=4 d=1.40227e-07 t=96130
qi gui dao 	齊跪倒	c=1 d=1 t=45341
qi hou 	氣候	c=1 d=1 t=73790
